Bertrand_price,monopoly_price,price_agent_0,price_agent_1,relative_final_price
1,1.9000000000000001,1.6814285714285715,1.6814285714285715,0.7571428571428571
1,1.9000000000000001,1.3728571428571428,1.3728571428571428,0.41428571428571415
1,1.9000000000000001,1.0642857142857143,1.0642857142857143,0.07142857142857141
1,1.9000000000000001,1.0642857142857143,1.0642857142857143,0.07142857142857141
1,1.9000000000000001,0.9099999999999999,0.9099999999999999,-0.10000000000000007
1,1.9000000000000001,1.0642857142857143,1.0642857142857143,0.07142857142857141
1,1.9000000000000001,1.0642857142857143,1.0642857142857143,0.07142857142857141
1,1.9000000000000001,0.9099999999999999,0.9099999999999999,-0.10000000000000007
1,1.9000000000000001,1.0642857142857143,1.0642857142857143,0.07142857142857141
1,1.9000000000000001,1.6814285714285715,1.6814285714285715,0.7571428571428571
1,1.9000000000000001,1.0642857142857143,1.0642857142857143,0.07142857142857141
